b'id',b'key',b'value',b'type'
b'65444881',b'highway',b'priority',b'regular'
b'65444887',b'highway',b'traffic_signals',b'regular'
b'65444893',b'highway',b'traffic_signals',b'regular'
b'65444897',b'direction',b'both',b'regular'
b'65444897',b'highway',b'stop',b'regular'
b'65444899',b'highway',b'priority',b'regular'
b'65444899',b'lane:both',b'parallel',b'parking'
b'65444901',b'highway',b'priority',b'regular'
b'65444901',b'lane:both',b'parallel',b'parking'
b'65444904',b'lane:both',b'parallel',b'parking'
b'65444905',b'lane:both',b'parallel',b'parking'
b'65444918',b'highway',b'priority',b'regular'
b'65445249',b'highway',b'turning_circle',b'regular'
b'65445283',b'highway',b'stop',b'regular'
b'65445283',b'stop',b'all',b'regular'
b'65445286',b'highway',b'stop',b'regular'
b'65445286',b'stop',b'all',b'regular'
b'65445287',b'highway',b'priority',b'regular'
b'65445289',b'highway',b'priority',b'regular'
b'65445290',b'traffic_calming',b'island',b'regular'
b'65445293',b'highway',b'stop',b'regular'
b'65445293',b'stop',b'all',b'regular'
b'65445357',b'highway',b'turning_circle',b'regular'
b'65445866',b'highway',b'turning_circle',b'regular'
b'65446360',b'highway',b'priority',b'regular'
b'65446369',b'highway',b'stop',b'regular'
b'65446369',b'stop',b'all',b'regular'
b'65446371',b'highway',b'priority',b'regular'
b'65446377',b'highway',b'priority',b'regular'
b'65446380',b'highway',b'stop',b'regular'
b'65446380',b'stop',b'all',b'regular'
b'65446386',b'highway',b'stop',b'regular'
b'65446386',b'stop',b'all',b'regular'
b'65446387',b'highway',b'priority',b'regular'
b'65446389',b'highway',b'traffic_signals',b'regular'
b'65446393',b'highway',b'priority',b'regular'
b'65446399',b'highway',b'stop',b'regular'
b'65446399',b'stop',b'all',b'regular'
b'65446413',b'highway',b'priority',b'regular'
b'65446415',b'highway',b'stop',b'regular'
b'65446415',b'stop',b'all',b'regular'
b'65446421',b'highway',b'stop',b'regular'
b'65446421',b'stop',b'all',b'regular'
b'65446423',b'highway',b'priority',b'regular'
b'65446427',b'highway',b'stop',b'regular'
b'65446427',b'stop',b'all',b'regular'
b'65446446',b'highway',b'turning_circle',b'regular'
b'65447909',b'highway',b'traffic_signals',b'regular'
b'65447962',b'highway',b'turning_circle',b'regular'
b'65449467',b'highway',b'priority',b'regular'
b'65449474',b'highway',b'traffic_signals',b'regular'
b'65449476',b'highway',b'priority',b'regular'
b'65449478',b'highway',b'priority',b'regular'
b'65449481',b'highway',b'priority',b'regular'
b'65449490',b'highway',b'stop',b'regular'
b'65449490',b'stop',b'all',b'regular'
b'65449493',b'highway',b'priority',b'regular'
b'65449496',b'highway',b'priority',b'regular'
b'65450497',b'highway',b'priority',b'regular'
b'65450714',b'highway',b'turning_circle',b'regular'
b'65451711',b'highway',b'turning_circle',b'regular'
b'65451966',b'highway',b'priority',b'regular'
b'65452401',b'highway',b'priority',b'regular'
b'65452690',b'highway',b'turning_circle',b'regular'
b'65454753',b'highway',b'turning_circle',b'regular'
b'65454760',b'highway',b'turning_circle',b'regular'
b'65456010',b'highway',b'stop',b'regular'
b'65456010',b'stop',b'all',b'regular'
b'65456367',b'highway',b'turning_circle',b'regular'
b'65456718',b'highway',b'turning_circle',b'regular'
b'65457042',b'highway',b'turning_circle',b'regular'
b'65457504',b'highway',b'turning_circle',b'regular'
b'65457508',b'highway',b'turning_circle',b'regular'
b'65457522',b'highway',b'turning_circle',b'regular'
b'65457526',b'highway',b'turning_circle',b'regular'
b'65457620',b'highway',b'priority',b'regular'
b'65457626',b'highway',b'stop',b'regular'
b'65457626',b'stop',b'all',b'regular'
b'65457685',b'highway',b'stop',b'regular'
b'65457685',b'stop',b'all',b'regular'
b'65457686',b'highway',b'stop',b'regular'
b'65457686',b'stop',b'all',b'regular'
b'65457692',b'highway',b'stop',b'regular'
b'65457692',b'lane:both',b'parallel',b'parking'
b'65457692',b'stop',b'all',b'regular'
b'65457693',b'direction',b'backward',b'regular'
b'65457693',b'highway',b'stop',b'regular'
b'65457693',b'traffic_sign',b'stop',b'regular'
b'65457698',b'highway',b'traffic_signals',b'regular'
b'65457732',b'highway',b'turning_circle',b'regular'
b'65457738',b'highway',b'traffic_signals',b'regular'
b'65458758',b'highway',b'stop',b'regular'
b'65458758',b'stop',b'all',b'regular'
b'65458930',b'highway',b'turning_circle',b'regular'
b'65459676',b'highway',b'turning_circle',b'regular'
b'65460075',b'highway',b'priority',b'regular'
b'65460120',b'highway',b'turning_circle',b'regular'
b'65460882',b'highway',b'turning_circle',b'regular'
b'65461933',b'highway',b'turning_circle',b'regular'
b'65461994',b'highway',b'turning_circle',b'regular'
b'65462084',b'highway',b'stop',b'regular'
b'65462155',b'highway',b'priority',b'regular'
b'65462557',b'highway',b'traffic_signals',b'regular'
b'65462578',b'highway',b'stop',b'regular'
b'65462735',b'highway',b'turning_circle',b'regular'
b'65463032',b'barrier',b'double_half',b'crossing'
b'65463032',b'railway',b'level_crossing',b'regular'
b'65463446',b'highway',b'turning_circle',b'regular'
b'65463453',b'highway',b'turning_circle',b'regular'
b'65463852',b'highway',b'turning_circle',b'regular'
b'65464351',b'crossing',b'uncontrolled',b'regular'
b'65464351',b'highway',b'crossing',b'regular'
b'65464351',b'kerb',b'lowered',b'regular'
b'65464353',b'highway',b'stop',b'regular'
b'65464353',b'stop',b'all',b'regular'
b'65464357',b'highway',b'stop',b'regular'
b'65464357',b'stop',b'all',b'regular'
b'65464515',b'highway',b'priority',b'regular'
b'65465131',b'highway',b'turning_circle',b'regular'
b'65465197',b'highway',b'stop',b'regular'
b'65465197',b'stop',b'all',b'regular'
b'65466585',b'highway',b'turning_circle',b'regular'
b'65466821',b'highway',b'turning_circle',b'regular'
b'65467161',b'highway',b'turning_circle',b'regular'
b'65468715',b'highway',b'priority',b'regular'
b'65468858',b'highway',b'turning_circle',b'regular'
b'65468882',b'highway',b'turning_circle',b'regular'
b'65469615',b'highway',b'traffic_signals',b'regular'
b'65469619',b'highway',b'traffic_signals',b'regular'
b'65470588',b'highway',b'turning_circle',b'regular'
b'65470680',b'highway',b'stop',b'regular'
b'65470680',b'stop',b'all',b'regular'
b'65470893',b'highway',b'turning_circle',b'regular'
b'65471090',b'highway',b'stop',b'regular'
b'65471100',b'bus',b'yes',b'regular'
b'65471100',b'name',b'Santa Cruz Avenue & North Lemon Avenue',b'regular'
b'65471100',b'network',b'SamTrans',b'regular'
b'65471100',b'public_transport',b'stop_position',b'regular'
b'65471337',b'highway',b'turning_circle',b'regular'
b'65471344',b'highway',b'stop',b'regular'
b'65471344',b'stop',b'all',b'regular'
b'65471790',b'highway',b'priority',b'regular'
b'65471792',b'highway',b'priority',b'regular'
b'65471794',b'highway',b'stop',b'regular'
b'65471794',b'stop',b'all',b'regular'
b'65472044',b'highway',b'turning_circle',b'regular'
b'65472325',b'highway',b'turning_circle',b'regular'
b'65472879',b'highway',b'turning_circle',b'regular'
b'65473180',b'lane:both',b'parallel',b'parking'
b'65473183',b'lane:both',b'parallel',b'parking'
b'65473241',b'highway',b'turning_circle',b'regular'
b'65473258',b'highway',b'turning_circle',b'regular'
b'65473345',b'barrier',b'bollard',b'regular'
b'65474691',b'lane:both',b'parallel',b'parking'
b'65474692',b'lane:both',b'parallel',b'parking'
b'65475317',b'highway',b'stop',b'regular'
b'65475317',b'stop',b'all',b'regular'
b'65475527',b'highway',b'turning_circle',b'regular'
b'65475689',b'highway',b'turning_circle',b'regular'
b'65475923',b'highway',b'traffic_signals',b'regular'
b'65475996',b'highway',b'turning_circle',b'regular'
b'65476147',b'highway',b'priority',b'regular'
b'65476148',b'highway',b'priority',b'regular'
b'65476153',b'highway',b'priority',b'regular'
b'65476155',b'highway',b'priority',b'regular'
b'65476160',b'highway',b'priority',b'regular'
b'65476162',b'highway',b'priority',b'regular'
b'65476163',b'highway',b'priority',b'regular'
b'65476171',b'highway',b'priority',b'regular'
b'65476178',b'highway',b'stop',b'regular'
b'65476178',b'stop',b'all',b'regular'
b'65476183',b'highway',b'turning_circle',b'regular'
b'65476295',b'highway',b'priority',b'regular'
b'65476297',b'highway',b'priority',b'regular'
